ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
H31_Yaka,H31_Yaka,,-5.984,16.775,yaka1269,,Yaka-Pelende-Lonzo
H32_Suku,H32_Suku,,-5.76495,17.7736,suku1259,,Suku
H321_Soonde,H321_Soonde,,-6.32223,18.3555,sond1250,,Sonde
H41_Mbala,H41_Mbala,,-5.11888,18.041,mbal1257,,Mbala
H42_Hunganna,H42_Hunganna,,-3.69695,18.4312,hung1278,,Hungan
JD53_Shi,JD53_Shi,,-2.55777,28.6122,shii1238,,Shi
JD62_Rundi,JD62_Rundi,,-2.94,29.97,rund1242,,Rundi
JD64_Shubi,JD64_Shubi,,-2.97663,31.0681,shub1238,,Shubi
JD65_Hangaza,JD65_Hangaza,,-2.52347,30.7074,hang1260,,Hangaza
JD66_Kiha,JD66_Kiha,,-3.77873,30.4894,haaa1252,,Ha
JD67_Kivinza,JD67_Kivinza,,-4.99312,30.5699,vinz1238,,Vinza
JE11_Runyoro,JE11_Runyoro,,0.95294,31.3493,nyor1246,,Nyoro
JE12_Rutooro,JE12_Rutooro,,0.57291,30.6389,toor1238,,Tooro
JE13_Runyankore,JE13_Runyankore,,-0.46364,30.548,nyan1307,,Nyankole
JE14_Rukiga,JE14_Rukiga,,-1.04387,29.9122,chig1238,,Chiga
JE15_Luganda,JE15_Luganda,,0.66884,32.15153,gand1255,,Ganda
JE16_Lusoga,JE16_Lusoga,,0.40456,33.3942,soga1242,,Soga
JE17_Gwere,JE17_Gwere,,1.11392,33.8227,gwer1238,,Gwere
JE21_Runyambo,JE21_Runyambo,,-1.6096,30.9156,nyam1277,,Nyambo
JE22_Haya,JE22_Haya,,-1.70878,31.4846,haya1250,,Haya
JE23_Zinza,JE23_Zinza,,-2.64132,32.1755,zinz1238,,Zinza
JE24_Kerebe,JE24_Kerebe,,-2.09315,33.5326,kere1283,,Kerewe
JE25_Jita,JE25_Jita,,-1.62681,33.9141,jita1239,,Jita
JE25_Kilegi,JE25_Kilegi,,-1.62681,33.9141,jita1239,,Jita
JE25_Mkwaya,JE25_Mkwaya,,-1.62681,33.9141,jita1239,,Jita
JE31_Lumasaaba,JE31_Lumasaaba,,1.05906,34.2829,masa1299,,Masaaba
JE31c_Bukusu,JE31c_Bukusu,,0.68043,34.7719,buku1249,,Bukusu
JE32_Luyia,JE32_Luyia,,0.3652,34.0335,saam1283,,Saamia
JE34_Samialugwe,JE34_Samialugwe,,0.3652,34.0335,saam1283,,Saamia
JE401_Ngoreme,JE401_Ngoreme,,-1.8485,34.6173,ngur1263,,Ngoreme
JE402_Ikizu,JE402_Ikizu,,-1.9915,34.3589,ikiz1238,,Ikizu
JE403_Suba,JE403_Suba,,-0.95719,34.1033,suba1238,,Suba
JE404_Shasi,JE404_Shasi,,-1.9915,34.3589,ikiz1238,,Ikizu
JE41_Maragoli,JE41_Maragoli,,0.09487,34.729,logo1258,,Logooli
JE42_Gusii,JE42_Gusii,,-0.78872,34.76751,gusi1247,,Gusii
JE43_Kuria,JE43_Kuria,,-1.50636,34.5049,kuri1259,,Kuria
