Site,Label,Concepticon_ID,Concepticon_Gloss
225,bed_34,1663,BED
226,bed_35,1663,BED
227,bed_36,1663,BED
228,bed_37,1663,BED
229,bed_38,1663,BED
230,bed_39,1663,BED
231,bed_40,1663,BED
232,bed_41,1663,BED
233,bed_42,1663,BED
234,bed_43,1663,BED
235,bed_44,1663,BED
236,bed_45,1663,BED
237,bed_46,1663,BED
238,bed_47,1663,BED
239,bed_48,1663,BED
240,bed_49,1663,BED
241,belly_1,1251,BELLY
242,belly_2,1251,BELLY
243,belly_3,1251,BELLY
244,belly_4,1251,BELLY
245,belly_5,1251,BELLY
246,belly_6,1251,BELLY
247,belly_7,1251,BELLY
248,belly_8,1251,BELLY
249,belly_9,1251,BELLY
250,belly_10,1251,BELLY
251,belly_11,1251,BELLY
252,belly_12,1251,BELLY
253,belly_13,1251,BELLY
254,belly_14,1251,BELLY
255,belly_15,1251,BELLY
256,belly_16,1251,BELLY
257,belly_17,1251,BELLY
258,belly_18,1251,BELLY
259,belly_19,1251,BELLY
260,belly_20,1251,BELLY
261,belly_21,1251,BELLY
262,belly_22,1251,BELLY
263,belly_23,1251,BELLY
264,belly_24,1251,BELLY
265,belly_25,1251,BELLY
266,belly_26,1251,BELLY
267,belly_27,1251,BELLY
268,belly_28,1251,BELLY
269,belly_30,1251,BELLY
270,belly_31,1251,BELLY
271,belly_32,1251,BELLY
272,belly_33,1251,BELLY
273,belly_34,1251,BELLY
274,belly_35,1251,BELLY
275,belly_36,1251,BELLY
276,belly_37,1251,BELLY
277,belly_38,1251,BELLY
278,belly_39,1251,BELLY
279,belly_40,1251,BELLY
280,belly_41,1251,BELLY
281,belly_42,1251,BELLY
282,belly_43,1251,BELLY
283,belly_44,1251,BELLY
284,belly_45,1251,BELLY
285,belly_46,1251,BELLY
286,belly_47,1251,BELLY
287,belly_48,1251,BELLY
288,belly_49,1251,BELLY
289,belly_50,1251,BELLY
290,belly_51,1251,BELLY
291,belly_52,1251,BELLY
292,belly_53,1251,BELLY
293,big_1,1202,BIG
294,big_2,1202,BIG
295,big_3,1202,BIG
296,big_4,1202,BIG
297,big_5,1202,BIG
298,big_6,1202,BIG
299,big_7,1202,BIG
300,big_8,1202,BIG
301,big_9,1202,BIG
302,big_10,1202,BIG
303,big_11,1202,BIG
304,big_12,1202,BIG
305,big_13,1202,BIG
306,big_14,1202,BIG
307,big_15,1202,BIG
308,big_16,1202,BIG
309,big_17,1202,BIG
310,big_18,1202,BIG
311,big_19,1202,BIG
312,big_20,1202,BIG
313,big_21,1202,BIG
314,big_22,1202,BIG
315,big_23,1202,BIG
316,big_24,1202,BIG
317,big_25,1202,BIG
318,big_26,1202,BIG
319,big_27,1202,BIG
320,big_28,1202,BIG
321,big_29,1202,BIG
322,big_30,1202,BIG
323,big_31,1202,BIG
324,big_32,1202,BIG
325,big_33,1202,BIG
326,big_34,1202,BIG
327,big_35,1202,BIG
328,big_36,1202,BIG
329,big_38,1202,BIG
330,big_39,1202,BIG
331,big_40,1202,BIG
332,big_41,1202,BIG
333,big_42,1202,BIG
334,big_43,1202,BIG
335,big_44,1202,BIG
336,big_45,1202,BIG
337,big_46,1202,BIG
338,big_47,1202,BIG
339,big_48,1202,BIG
340,big_49,1202,BIG
341,big_50,1202,BIG
342,big_51,1202,BIG
343,big_52,1202,BIG
344,big_53,1202,BIG
345,big_54,1202,BIG
346,big_55,1202,BIG
347,big_56,1202,BIG
348,big_57,1202,BIG
349,big_58,1202,BIG
350,big_59,1202,BIG
351,big_60,1202,BIG
352,big_61,1202,BIG
353,big_62,1202,BIG
354,big_63,1202,BIG
355,big_64,1202,BIG
356,big_65,1202,BIG
357,big_66,1202,BIG
358,big_67,1202,BIG
359,big_68,1202,BIG
360,big_69,1202,BIG
361,big_70,1202,BIG
362,bird_1,937,BIRD
363,bird_2,937,BIRD
364,bird_3,937,BIRD
365,bird_4,937,BIRD
366,bird_5,937,BIRD
367,bird_6,937,BIRD
368,bird_7,937,BIRD
369,bird_8,937,BIRD
370,bird_9,937,BIRD
371,bird_10,937,BIRD
372,bird_12,937,BIRD
373,bird_13,937,BIRD
374,bird_14,937,BIRD
375,bird_15,937,BIRD
376,bird_16,937,BIRD
377,bird_17,937,BIRD
378,bird_18,937,BIRD
379,bird_19,937,BIRD
380,bird_20,937,BIRD
381,bird_21,937,BIRD
382,bird_22,937,BIRD
383,bird_23,937,BIRD
384,bird_24,937,BIRD
385,bird_25,937,BIRD
386,bite_1,1403,BITE
387,bite_2,1403,BITE
388,bite_3,1403,BITE
389,bite_4,1403,BITE
390,bite_5,1403,BITE
391,bite_6,1403,BITE
392,bite_7,1403,BITE
393,bite_8,1403,BITE
394,bite_9,1403,BITE
395,bite_10,1403,BITE
396,bite_11,1403,BITE
397,bite_12,1403,BITE
398,bite_13,1403,BITE
399,bite_14,1403,BITE
400,bite_15,1403,BITE
401,bite_16,1403,BITE
402,bite_17,1403,BITE
403,bite_18,1403,BITE
404,bite_19,1403,BITE
405,bite_20,1403,BITE
406,bite_21,1403,BITE
407,bite_22,1403,BITE
408,bite_23,1403,BITE
409,bite_24,1403,BITE
410,bite_25,1403,BITE
411,bite_26,1403,BITE
412,bite_27,1403,BITE
413,bite_28,1403,BITE
414,bite_29,1403,BITE
415,bite_30,1403,BITE
416,bite_31,1403,BITE
417,bite_32,1403,BITE
418,bite_33,1403,BITE
419,bite_34,1403,BITE
420,bite_35,1403,BITE
421,bite_36,1403,BITE
422,bite_37,1403,BITE
423,bite_38,1403,BITE
424,bite_39,1403,BITE
425,bite_40,1403,BITE
426,bite_41,1403,BITE
427,bite_42,1403,BITE
428,bite_43,1403,BITE
429,bite_44,1403,BITE
430,bite_45,1403,BITE
431,blood_1,946,BLOOD
432,blood_2,946,BLOOD
433,blood_3,946,BLOOD
434,blood_4,946,BLOOD
435,blood_5,946,BLOOD
436,blood_6,946,BLOOD
437,blood_7,946,BLOOD
438,blood_8,946,BLOOD
439,blood_9,946,BLOOD
440,blood_10,946,BLOOD
441,blood_11,946,BLOOD
442,blood_12,946,BLOOD
443,blood_13,946,BLOOD
444,blood_14,946,BLOOD
445,blood_15,946,BLOOD
446,blood_16,946,BLOOD
447,blood_17,946,BLOOD
448,blood_18,946,BLOOD
449,blood_19,946,BLOOD
450,blood_20,946,BLOOD
451,blood_21,946,BLOOD
452,blood_22,946,BLOOD
453,blood_23,946,BLOOD
454,blood_24,946,BLOOD
455,blood_25,946,BLOOD
456,blood_26,946,BLOOD
457,blood_27,946,BLOOD
458,blood_28,946,BLOOD
459,blood_29,946,BLOOD
460,blood_30,946,BLOOD
